CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
93;LC;73500;B;;0;;1.34168;-0.72074;0.17132;Azul;111;0
94;LC;73619;C;;0;;1.04309;0.06731;0.06311;Azul;111;0
95;LC;73750;B;;0;;2.39987;-0.01608;0.16573;Azul;111;0
91;LC;71358;C;;0;;2.67333;-0.12946;0.1239;Azul;111;1
92;LC;59100;D;;0;;1.65128;1.07938;0.21616;Azul;111;1
93;LC;70776;D;;0;;3.3733;0.24511;0.1592;Azul;111;1
94;LC;71128;D;;0;;2.27219;0.34569;0.07651;Azul;111;1
95;LC;70657;E;;0;;2.93496;-0.15438;0.13419;Azul;111;1
96;LC;72758;D;;0;;2.36979;-0.23487;0.12324;Rosa;112;
97;LC;59694;C;;0;;2.23063;-0.80722;0.10099;Rosa;112;
98;LC;72643;A;;0;;2.80681;0.83426;0.17632;Rosa;112;
99;LC;71847;E;;0;;2.22394;-0.82853;0.14865;Rosa;112;
100;LC;70649;A;;0;;2.13859;-0.52625;0.14432;Rosa;112;
101;LC;70683;A;;0;;1.99507;0.77373;0.18649;Rosa;112;
102;LC;70603;B;;0;;2.27004;-0.47045;0.20744;Rosa;112;
103;LC;58215;E;;0;;1.78654;1.10624;0.15634;Rosa;112;
104;LC;70685;C;;0;;2.75325;-0.28851;0.14891;Rosa;112;
105;LC;71370;B;;0;;2.41688;-0.2503;0.19777;Rosa;112;
106;LC;71075;B;;0;;1.50134;0.38389;0.21672;Rosa;112;
107;LC;73784;D;;0;;2.1335;-0.44754;0.04061;Rosa;112;
108;LC;72874;E;;0;;1.53089;-0.92559;0.04326;Rosa;112;
109;LC;70365;C;;0;;2.47548;-0.00188;0.11458;Rosa;112;
110;LC;71373;B;;0;;4.04976;0.28466;0.18774;Rosa;112;
111;LC;71144;D;;0;;2.71772;0.77201;0.16928;Rosa;112;
112;LC;71284;B;;0;;1.46865;0.19705;0.14557;Rosa;112;
113;LC;71299;A;;0;;1.67614;0.14507;0.12372;Rosa;112;
114;LC;70783;C;;0;;1.41885;-0.69407;0.10456;Rosa;112;
115;LC;72761;B;;0;;0.93253;0.13765;0.08468;Rosa;112;
116;LC;73849;E;;0;;2.04192;-0.21952;0.09268;Rosa;112;
117;LC;71398;C;;0;;5.20052;0.55686;0.18469;Rosa;112;
118;LC;70221;B;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;112;
119;LC;72902;C;;0;;3.11204;-0.1387;0.21765;Rosa;112;
120;LC;73567;C;;0;;2.20112;1.34806;0.20607;Rosa;112;
121;LC;72141;C;;0;;2.67059;0.15206;0.14145;Rosa;112;
122;LC;72779;C;;0;;1.64397;-0.29793;0.17922;Rosa;112;
123;LC;72653;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;112;
124;LC;70337;E;;0;;1.26918;-0.20006;0.03988;Rosa;112;
125;LC;72925;A;;0;;0.70866;2.17568;0.16707;Rosa;112;
126;LC;71167;A;;0;;2.60561;-0.44951;0.16161;Rosa;112;
127;LC;73658;C;;0;;2.18406;0.53311;0.20798;Rosa;112;
128;LC;72200;E;;0;;2.14594;-0.01893;0.1087;Rosa;112;
129;LC;71410;B;;0;;0.91219;1.47625;0.1785;Rosa;112;
130;LC;58181;D;;0;;2.24905;0.39993;0.13867;Rosa;112;
131;LC;70374;A;;0;;2.84183;-0.40844;0.15505;Rosa;112;
132;LC;70939;D;;0;;3.25598;-0.27773;0.15849;Rosa;112;
133;LC;70107;A;;0;;1.35305;0.19307;0.1765;Rosa;112;
134;LC;71540;E;;0;;2.99962;0.08314;0.18542;Rosa;112;
135;LC;72524;E;;0;;1.9598;-0.19815;0.1319;Rosa;112;
91;LC;73147;A;;0;;1.23805;-0.82101;0.10764;Rosa;112;0
92;LC;73505;B;;0;;2.08278;-0.65094;0.19234;Rosa;112;0
93;LC;73750;B;;0;;2.39987;-0.01608;0.16573;Rosa;112;0
94;LC;73619;C;;0;;1.04309;0.06731;0.06311;Rosa;112;0
95;LC;73500;B;;0;;1.34168;-0.72074;0.17132;Rosa;112;0
91;LC;70657;E;;0;;2.93496;-0.15438;0.13419;Rosa;112;1
92;LC;59100;D;;0;;1.65128;1.07938;0.21616;Rosa;112;1
93;LC;71358;C;;0;;2.67333;-0.12946;0.1239;Rosa;112;1
94;LC;71128;D;;0;;2.27219;0.34569;0.07651;Rosa;112;1
95;LC;70776;D;;0;;3.3733;0.24511;0.1592;Rosa;112;1
136;MT;70114;C;1;0;;1.66379;-0.7156;0.05682;Amarelo;97;
137;MT;72709;E;7;0;;1.69546;0.44683;0.11078;Amarelo;97;
138;MT;70700;E;11;0;;1.96748;1.29609;0.10989;Amarelo;97;
139;MT;70379;B;12;0;;3.66732;1.20902;0.16896;Amarelo;97;
140;MT;72470;C;25;0;;1.50538;2.16024;0.23774;Amarelo;97;
141;MT;73379;D;25;0;;2.38279;0.26521;0.117;Amarelo;97;
142;MT;70373;A;15;0;;2.60718;0.07302;0.20237;Amarelo;97;
143;MT;71544;B;26;0;;1.44638;0.69535;0.12392;Amarelo;97;
144;MT;73385;C;15;0;;2.70301;1.35998;0.30383;Amarelo;97;
145;MT;72145;A;24;0;;2.08521;0.39544;0.16581;Amarelo;97;
146;MT;72301;B;10;0;;3.10858;0.63493;0.20898;Amarelo;97;
147;MT;72759;A;6;0;;1.37237;2.24774;0.21559;Amarelo;97;
148;MT;58800;E;20;0;;1.78917;0.82689;0.14307;Amarelo;97;
149;MT;71434;B;19;0;;2.8951;1.55603;0.20449;Amarelo;97;
150;MT;73134;B;17;0;;2.05536;1.33212;0.17538;Amarelo;97;
151;MT;71872;A;9;0;;3.17802;2.1407;0.24299;Amarelo;97;
152;MT;71662;E;7;0;;1.66404;1.62614;0.10811;Amarelo;97;
153;MT;72824;D;16;0;;1.34722;1.58573;0.27113;Amarelo;97;
154;MT;70008;C;4;0;;1.57654;1.55529;0.22463;Amarelo;97;
155;MT;71426;C;3;0;;2.08443;2.00592;0.15688;Amarelo;97;
156;MT;71083;D;30;0;;0.3656;2.53865;0.00641;Amarelo;97;
157;MT;58653;D;12;0;;2.18535;2.86431;0.17445;Amarelo;97;
158;MT;73417;A;14;0;;2.69234;2.17498;0.17953;Amarelo;97;
159;MT;73301;E;23;0;;2.33279;2.14452;0.10775;Amarelo;97;
160;MT;73405;C;8;0;;2.21981;1.89611;0.20056;Amarelo;97;
161;MT;70491;B;22;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;97;
162;MT;73313;D;14;0;;1.82066;2.38859;0.20188;Amarelo;97;
163;MT;72725;D;21;0;;2.47031;3.61504;0.17847;Amarelo;97;
164;MT;73408;B;9;0;;1.32835;2.52572;0.20615;Amarelo;97;
165;MT;71233;E;19;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;97;
166;MT;72078;C;26;0;;0.79069;1.78724;0.10619;Amarelo;97;
167;MT;70310;B;27;0;;0.98638;3.42048;0.17872;Amarelo;97;
168;MT;70710;B;8;0;;1.10586;3.29443;0.29544;Amarelo;97;
169;MT;70124;D;13;0;;0.87645;2.88132;0.17451;Amarelo;97;
170;MT;70325;B;5;0;;1.81075;2.55485;0.21022;Amarelo;97;
171;MT;71154;B;29;0;;1.63996;1.23246;0.17193;Amarelo;97;
172;MT;58659;C;5;0;;1.81823;2.84072;0.1874;Amarelo;97;
173;MT;70041;D;28;0;;2.72784;1.40573;0.12487;Amarelo;97;
174;MT;73123;B;4;0;;4.08151;3.22047;0.27925;Amarelo;97;
175;MT;58699;E;27;0;;1.66283;2.97375;0.12156;Amarelo;97;
176;MT;72775;B;16;0;;1.82152;0.58872;0.21;Amarelo;97;
177;MT;70845;E;18;0;;2.48463;0.94525;0.18166;Amarelo;97;
178;MT;73400;D;2;0;;1.92705;1.28871;0.18926;Amarelo;97;
179;MT;70765;D;8;0;;3.86617;1.45961;0.11213;Amarelo;97;
180;MT;59475;E;24;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;97;
136;MT;70114;C;1;0;;1.66379;-0.7156;0.05682;Cinza;98;
137;MT;72709;E;7;0;;1.69546;0.44683;0.11078;Cinza;98;
138;MT;70700;E;11;0;;1.96748;1.29609;0.10989;Cinza;98;
139;MT;70379;B;12;0;;3.66732;1.20902;0.16896;Cinza;98;
140;MT;73379;D;25;0;;2.38279;0.26521;0.117;Cinza;98;
141;MT;72470;C;25;0;;1.50538;2.16024;0.23774;Cinza;98;
142;MT;70373;A;15;0;;2.60718;0.07302;0.20237;Cinza;98;
143;MT;73385;C;15;0;;2.70301;1.35998;0.30383;Cinza;98;
144;MT;71544;B;26;0;;1.44638;0.69535;0.12392;Cinza;98;
145;MT;72145;A;24;0;;2.08521;0.39544;0.16581;Cinza;98;
146;MT;72301;B;10;0;;3.10858;0.63493;0.20898;Cinza;98;
147;MT;72759;A;6;0;;1.37237;2.24774;0.21559;Cinza;98;
148;MT;58800;E;20;0;;1.78917;0.82689;0.14307;Cinza;98;
149;MT;71434;B;19;0;;2.8951;1.55603;0.20449;Cinza;98;
150;MT;73134;B;17;0;;2.05536;1.33212;0.17538;Cinza;98;
151;MT;71872;A;9;0;;3.17802;2.1407;0.24299;Cinza;98;
152;MT;73301;E;23;0;;2.33279;2.14452;0.10775;Cinza;98;
153;MT;73313;D;14;0;;1.82066;2.38859;0.20188;Cinza;98;
154;MT;70008;C;4;0;;1.57654;1.55529;0.22463;Cinza;98;
155;MT;71083;D;30;0;;0.3656;2.53865;0.00641;Cinza;98;
156;MT;71426;C;3;0;;2.08443;2.00592;0.15688;Cinza;98;
157;MT;58653;D;12;0;;2.18535;2.86431;0.17445;Cinza;98;
158;MT;73417;A;14;0;;2.69234;2.17498;0.17953;Cinza;98;
159;MT;71662;E;7;0;;1.66404;1.62614;0.10811;Cinza;98;
160;MT;73405;C;8;0;;2.21981;1.89611;0.20056;Cinza;98;
161;MT;70491;B;22;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;98;
162;MT;72824;D;16;0;;1.34722;1.58573;0.27113;Cinza;98;
163;MT;73408;B;9;0;;1.32835;2.52572;0.20615;Cinza;98;
164;MT;72725;D;21;0;;2.47031;3.61504;0.17847;Cinza;98;
165;MT;71233;E;19;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;98;
166;MT;72078;C;26;0;;0.79069;1.78724;0.10619;Cinza;98;
167;MT;70710;B;8;0;;1.10586;3.29443;0.29544;Cinza;98;
168;MT;70310;B;27;0;;0.98638;3.42048;0.17872;Cinza;98;
169;MT;70124;D;13;0;;0.87645;2.88132;0.17451;Cinza;98;
170;MT;70325;B;5;0;;1.81075;2.55485;0.21022;Cinza;98;
171;MT;71154;B;29;0;;1.63996;1.23246;0.17193;Cinza;98;
172;MT;58659;C;5;0;;1.81823;2.84072;0.1874;Cinza;98;
173;MT;73123;B;4;0;;4.08151;3.22047;0.27925;Cinza;98;
174;MT;70041;D;28;0;;2.72784;1.40573;0.12487;Cinza;98;
175;MT;58699;E;27;0;;1.66283;2.97375;0.12156;Cinza;98;
176;MT;73400;D;2;0;;1.92705;1.28871;0.18926;Cinza;98;
177;MT;70845;E;18;0;;2.48463;0.94525;0.18166;Cinza;98;
178;MT;72775;B;16;0;;1.82152;0.58872;0.21;Cinza;98;
179;MT;70765;D;8;0;;3.86617;1.45961;0.11213;Cinza;98;
180;MT;59475;E;24;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;98;
136;MT;70114;C;1;0;;1.66379;-0.7156;0.05682;Azul;99;
137;MT;70700;E;11;0;;1.96748;1.29609;0.10989;Azul;99;
138;MT;72709;E;7;0;;1.69546;0.44683;0.11078;Azul;99;
139;MT;70379;B;12;0;;3.66732;1.20902;0.16896;Azul;99;
140;MT;71544;B;26;0;;1.44638;0.69535;0.12392;Azul;99;
141;MT;73379;D;25;0;;2.38279;0.26521;0.117;Azul;99;
142;MT;70373;A;15;0;;2.60718;0.07302;0.20237;Azul;99;
143;MT;72470;C;25;0;;1.50538;2.16024;0.23774;Azul;99;
144;MT;73385;C;15;0;;2.70301;1.35998;0.30383;Azul;99;
145;MT;72145;A;24;0;;2.08521;0.39544;0.16581;Azul;99;
146;MT;72301;B;10;0;;3.10858;0.63493;0.20898;Azul;99;
147;MT;71083;D;30;0;;0.3656;2.53865;0.00641;Azul;99;
148;MT;58800;E;20;0;;1.78917;0.82689;0.14307;Azul;99;
149;MT;71434;B;19;0;;2.8951;1.55603;0.20449;Azul;99;
150;MT;73134;B;17;0;;2.05536;1.33212;0.17538;Azul;99;
151;MT;71872;A;9;0;;3.17802;2.1407;0.24299;Azul;99;
152;MT;70491;B;22;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;99;
153;MT;73313;D;14;0;;1.82066;2.38859;0.20188;Azul;99;
154;MT;70008;C;4;0;;1.57654;1.55529;0.22463;Azul;99;
155;MT;71426;C;3;0;;2.08443;2.00592;0.15688;Azul;99;
156;MT;72759;A;6;0;;1.37237;2.24774;0.21559;Azul;99;
157;MT;58653;D;12;0;;2.18535;2.86431;0.17445;Azul;99;
158;MT;73417;A;14;0;;2.69234;2.17498;0.17953;Azul;99;
159;MT;73301;E;23;0;;2.33279;2.14452;0.10775;Azul;99;
160;MT;73405;C;8;0;;2.21981;1.89611;0.20056;Azul;99;
161;MT;71662;E;7;0;;1.66404;1.62614;0.10811;Azul;99;
162;MT;72824;D;16;0;;1.34722;1.58573;0.27113;Azul;99;
163;MT;71233;E;19;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;99;
164;MT;73408;B;9;0;;1.32835;2.52572;0.20615;Azul;99;
165;MT;72725;D;21;0;;2.47031;3.61504;0.17847;Azul;99;
166;MT;72078;C;26;0;;0.79069;1.78724;0.10619;Azul;99;
167;MT;70310;B;27;0;;0.98638;3.42048;0.17872;Azul;99;
168;MT;70710;B;8;0;;1.10586;3.29443;0.29544;Azul;99;
169;MT;70124;D;13;0;;0.87645;2.88132;0.17451;Azul;99;
170;MT;71154;B;29;0;;1.63996;1.23246;0.17193;Azul;99;
171;MT;70325;B;5;0;;1.81075;2.55485;0.21022;Azul;99;
172;MT;58659;C;5;0;;1.81823;2.84072;0.1874;Azul;99;
173;MT;73123;B;4;0;;4.08151;3.22047;0.27925;Azul;99;
174;MT;70041;D;28;0;;2.72784;1.40573;0.12487;Azul;99;
175;MT;58699;E;27;0;;1.66283;2.97375;0.12156;Azul;99;
176;MT;72775;B;16;0;;1.82152;0.58872;0.21;Azul;99;
177;MT;70845;E;18;0;;2.48463;0.94525;0.18166;Azul;99;
178;MT;70765;D;8;0;;3.86617;1.45961;0.11213;Azul;99;
179;MT;73400;D;2;0;;1.92705;1.28871;0.18926;Azul;99;
180;MT;59475;E;24;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;99;
136;MT;70114;C;1;0;;1.66379;-0.7156;0.05682;Rosa;100;
137;MT;70700;E;11;0;;1.96748;1.29609;0.10989;Rosa;100;
138;MT;72709;E;7;0;;1.69546;0.44683;0.11078;Rosa;100;
139;MT;70379;B;12;0;;3.66732;1.20902;0.16896;Rosa;100;
140;MT;72145;A;24;0;;2.08521;0.39544;0.16581;Rosa;100;
141;MT;73379;D;25;0;;2.38279;0.26521;0.117;Rosa;100;
142;MT;70373;A;15;0;;2.60718;0.07302;0.20237;Rosa;100;
143;MT;71544;B;26;0;;1.44638;0.69535;0.12392;Rosa;100;
144;MT;73385;C;15;0;;2.70301;1.35998;0.30383;Rosa;100;
145;MT;72470;C;25;0;;1.50538;2.16024;0.23774;Rosa;100;
146;MT;72301;B;10;0;;3.10858;0.63493;0.20898;Rosa;100;
147;MT;71083;D;30;0;;0.3656;2.53865;0.00641;Rosa;100;
148;MT;58800;E;20;0;;1.78917;0.82689;0.14307;Rosa;100;
149;MT;71434;B;19;0;;2.8951;1.55603;0.20449;Rosa;100;
150;MT;73134;B;17;0;;2.05536;1.33212;0.17538;Rosa;100;
151;MT;71872;A;9;0;;3.17802;2.1407;0.24299;Rosa;100;
152;MT;70491;B;22;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;100;
153;MT;72824;D;16;0;;1.34722;1.58573;0.27113;Rosa;100;
154;MT;70008;C;4;0;;1.57654;1.55529;0.22463;Rosa;100;
155;MT;71426;C;3;0;;2.08443;2.00592;0.15688;Rosa;100;
156;MT;72759;A;6;0;;1.37237;2.24774;0.21559;Rosa;100;
157;MT;58653;D;12;0;;2.18535;2.86431;0.17445;Rosa;100;
158;MT;73417;A;14;0;;2.69234;2.17498;0.17953;Rosa;100;
159;MT;73301;E;23;0;;2.33279;2.14452;0.10775;Rosa;100;
160;MT;73405;C;8;0;;2.21981;1.89611;0.20056;Rosa;100;
161;MT;71662;E;7;0;;1.66404;1.62614;0.10811;Rosa;100;
162;MT;73313;D;14;0;;1.82066;2.38859;0.20188;Rosa;100;
163;MT;72725;D;21;0;;2.47031;3.61504;0.17847;Rosa;100;
164;MT;71233;E;19;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;100;
165;MT;73408;B;9;0;;1.32835;2.52572;0.20615;Rosa;100;
166;MT;72078;C;26;0;;0.79069;1.78724;0.10619;Rosa;100;
167;MT;70710;B;8;0;;1.10586;3.29443;0.29544;Rosa;100;
168;MT;70310;B;27;0;;0.98638;3.42048;0.17872;Rosa;100;
169;MT;70124;D;13;0;;0.87645;2.88132;0.17451;Rosa;100;
170;MT;71154;B;29;0;;1.63996;1.23246;0.17193;Rosa;100;
171;MT;70325;B;5;0;;1.81075;2.55485;0.21022;Rosa;100;
172;MT;58659;C;5;0;;1.81823;2.84072;0.1874;Rosa;100;
173;MT;70041;D;28;0;;2.72784;1.40573;0.12487;Rosa;100;
174;MT;73123;B;4;0;;4.08151;3.22047;0.27925;Rosa;100;
175;MT;58699;E;27;0;;1.66283;2.97375;0.12156;Rosa;100;
176;MT;72775;B;16;0;;1.82152;0.58872;0.21;Rosa;100;
177;MT;70845;E;18;0;;2.48463;0.94525;0.18166;Rosa;100;
178;MT;70765;D;8;0;;3.86617;1.45961;0.11213;Rosa;100;
179;MT;73400;D;2;0;;1.92705;1.28871;0.18926;Rosa;100;
180;MT;59475;E;24;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;100;
136;MT;72258;B;;0;;4.42208;1.11489;0.24726;Amarelo;113;
137;MT;72293;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;113;
138;MT;70780;C;;0;;0.92507;-0.47855;0.10219;Amarelo;113;
139;MT;71061;E;;0;;3.28684;0.09045;0.12064;Amarelo;113;
140;MT;72294;E;;0;;1.35482;0.15181;0.05339;Amarelo;113;
141;MT;70282;D;;0;;2.07647;-0.09327;0.09333;Amarelo;113;
142;MT;59437;B;;0;;1.87683;0.82776;0.18833;Amarelo;113;
143;MT;70303;D;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;113;
144;MT;72161;D;;0;;2.57498;0.744;0.20921;Amarelo;113;
145;MT;72106;A;;0;;3.23288;0.13832;0.15774;Amarelo;113;
146;MT;72107;A;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;113;
147;MT;70204;D;;0;;4.09541;0.71438;0.16752;Amarelo;113;
148;MT;70299;E;;0;;3.77611;0.29775;0.11512;Amarelo;113;
149;MT;72313;C;;0;;1.80989;0.3794;0.17157;Amarelo;113;
150;MT;72838;C;;0;;1.23741;1.70149;0.22482;Amarelo;113;
151;MT;71570;C;;0;;2.66087;1.9494;0.20879;Amarelo;113;
152;MT;71093;D;;0;;1.52304;3.57509;0.17389;Amarelo;113;
153;MT;70536;E;;0;;1.60562;1.72449;0.15542;Amarelo;113;
154;MT;72565;A;;0;;4.95501;1.42814;0.19278;Amarelo;113;
155;MT;72617;A;;0;;3.74228;0.4295;0.15384;Amarelo;113;
156;MT;70751;B;;0;;8.33058;1.27974;0.20749;Amarelo;113;
157;MT;57733;D;;0;;1.86204;3.30694;0.15795;Amarelo;113;
158;MT;70704;A;;0;;4.50873;1.41282;0.17982;Amarelo;113;
159;MT;70952;D;;0;;2.57177;1.06744;0.2216;Amarelo;113;
160;MT;70218;C;;0;;2.57783;0.76873;0.20813;Amarelo;113;
161;MT;71453;C;;0;;2.34678;0.66506;0.24574;Amarelo;113;
162;MT;72109;B;;0;;0.67748;1.05552;0.10258;Amarelo;113;
163;MT;70043;D;;0;;1.82276;1.66982;0.16316;Amarelo;113;
164;MT;72116;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;113;
165;MT;72517;D;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;113;
166;MT;58802;A;;0;;1.89847;3.53856;0.17933;Amarelo;113;
167;MT;71600;C;;0;;5.88771;1.50735;0.24501;Amarelo;113;
168;MT;71404;B;;0;;1.74429;2.39833;0.18656;Amarelo;113;
169;MT;58341;C;;0;;1.48018;2.8491;0.19864;Amarelo;113;
170;MT;71392;B;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;113;
171;MT;72867;C;;0;;1.07966;1.89693;0.18356;Amarelo;113;
172;MT;70173;D;;0;;2.62193;2.41032;0.15886;Amarelo;113;
173;MT;72905;B;;0;;5.51388;1.2326;0.2098;Amarelo;113;
174;MT;70888;D;;0;;6.46006;1.49799;0.18185;Amarelo;113;
175;MT;58624;D;;0;;1.37778;2.28746;0.14604;Amarelo;113;
176;MT;72427;A;;0;;1.89486;1.63495;0.16561;Amarelo;113;
177;MT;70076;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;113;
178;MT;70339;C;;0;;1.78146;1.31281;0.11434;Amarelo;113;
179;MT;72070;C;;0;;2.72836;0.41046;0.19032;Amarelo;113;
180;MT;70298;B;;0;;1.60085;1.82947;0.21045;Amarelo;113;
136;MT;72293;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;114;
137;MT;72258;B;;0;;4.42208;1.11489;0.24726;Cinza;114;
138;MT;72294;E;;0;;1.35482;0.15181;0.05339;Cinza;114;
139;MT;71061;E;;0;;3.28684;0.09045;0.12064;Cinza;114;
140;MT;70780;C;;0;;0.92507;-0.47855;0.10219;Cinza;114;
141;MT;70303;D;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;114;
142;MT;59437;B;;0;;1.87683;0.82776;0.18833;Cinza;114;
143;MT;70282;D;;0;;2.07647;-0.09327;0.09333;Cinza;114;
144;MT;72106;A;;0;;3.23288;0.13832;0.15774;Cinza;114;
145;MT;72161;D;;0;;2.57498;0.744;0.20921;Cinza;114;
146;MT;70204;D;;0;;4.09541;0.71438;0.16752;Cinza;114;
147;MT;72107;A;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;114;
148;MT;70299;E;;0;;3.77611;0.29775;0.11512;Cinza;114;
149;MT;72838;C;;0;;1.23741;1.70149;0.22482;Cinza;114;
150;MT;72313;C;;0;;1.80989;0.3794;0.17157;Cinza;114;
151;MT;71570;C;;0;;2.66087;1.9494;0.20879;Cinza;114;
152;MT;70751;B;;0;;8.33058;1.27974;0.20749;Cinza;114;
153;MT;71093;D;;0;;1.52304;3.57509;0.17389;Cinza;114;
154;MT;72565;A;;0;;4.95501;1.42814;0.19278;Cinza;114;
155;MT;70536;E;;0;;1.60562;1.72449;0.15542;Cinza;114;
156;MT;72617;A;;0;;3.74228;0.4295;0.15384;Cinza;114;
157;MT;57733;D;;0;;1.86204;3.30694;0.15795;Cinza;114;
158;MT;70952;D;;0;;2.57177;1.06744;0.2216;Cinza;114;
159;MT;70704;A;;0;;4.50873;1.41282;0.17982;Cinza;114;
160;MT;70218;C;;0;;2.57783;0.76873;0.20813;Cinza;114;
161;MT;72109;B;;0;;0.67748;1.05552;0.10258;Cinza;114;
162;MT;71453;C;;0;;2.34678;0.66506;0.24574;Cinza;114;
163;MT;71600;C;;0;;5.88771;1.50735;0.24501;Cinza;114;
164;MT;70043;D;;0;;1.82276;1.66982;0.16316;Cinza;114;
165;MT;72116;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;114;
166;MT;58802;A;;0;;1.89847;3.53856;0.17933;Cinza;114;
167;MT;72517;D;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;114;
168;MT;71392;B;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;114;
169;MT;58341;C;;0;;1.48018;2.8491;0.19864;Cinza;114;
170;MT;71404;B;;0;;1.74429;2.39833;0.18656;Cinza;114;
171;MT;72905;B;;0;;5.51388;1.2326;0.2098;Cinza;114;
172;MT;70173;D;;0;;2.62193;2.41032;0.15886;Cinza;114;
173;MT;72867;C;;0;;1.07966;1.89693;0.18356;Cinza;114;
174;MT;72427;A;;0;;1.89486;1.63495;0.16561;Cinza;114;
175;MT;58624;D;;0;;1.37778;2.28746;0.14604;Cinza;114;
176;MT;70888;D;;0;;6.46006;1.49799;0.18185;Cinza;114;
177;MT;72070;C;;0;;2.72836;0.41046;0.19032;Cinza;114;
178;MT;70339;C;;0;;1.78146;1.31281;0.11434;Cinza;114;
179;MT;70076;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;114;
180;MT;70298;B;;0;;1.60085;1.82947;0.21045;Cinza;114;
136;MT;70780;C;;0;;0.92507;-0.47855;0.10219;Azul;115;
137;MT;72294;E;;0;;1.35482;0.15181;0.05339;Azul;115;
138;MT;72258;B;;0;;4.42208;1.11489;0.24726;Azul;115;
139;MT;71061;E;;0;;3.28684;0.09045;0.12064;Azul;115;
140;MT;72293;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;115;
141;MT;72161;D;;0;;2.57498;0.744;0.20921;Azul;115;
142;MT;59437;B;;0;;1.87683;0.82776;0.18833;Azul;115;
143;MT;72106;A;;0;;3.23288;0.13832;0.15774;Azul;115;
144;MT;70282;D;;0;;2.07647;-0.09327;0.09333;Azul;115;
145;MT;70303;D;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;115;
146;MT;72313;C;;0;;1.80989;0.3794;0.17157;Azul;115;
147;MT;72838;C;;0;;1.23741;1.70149;0.22482;Azul;115;
148;MT;70299;E;;0;;3.77611;0.29775;0.11512;Azul;115;
149;MT;72107;A;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;115;
150;MT;70204;D;;0;;4.09541;0.71438;0.16752;Azul;115;
151;MT;71570;C;;0;;2.66087;1.9494;0.20879;Azul;115;
152;MT;72617;A;;0;;3.74228;0.4295;0.15384;Azul;115;
153;MT;70751;B;;0;;8.33058;1.27974;0.20749;Azul;115;
154;MT;72565;A;;0;;4.95501;1.42814;0.19278;Azul;115;
155;MT;71093;D;;0;;1.52304;3.57509;0.17389;Azul;115;
156;MT;70536;E;;0;;1.60562;1.72449;0.15542;Azul;115;
157;MT;57733;D;;0;;1.86204;3.30694;0.15795;Azul;115;
158;MT;71453;C;;0;;2.34678;0.66506;0.24574;Azul;115;
159;MT;72109;B;;0;;0.67748;1.05552;0.10258;Azul;115;
160;MT;70218;C;;0;;2.57783;0.76873;0.20813;Azul;115;
161;MT;70704;A;;0;;4.50873;1.41282;0.17982;Azul;115;
162;MT;70952;D;;0;;2.57177;1.06744;0.2216;Azul;115;
163;MT;72116;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;115;
164;MT;72517;D;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;115;
