CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA
83;CH;60212;E;;0;;1.72838;1.45567;0.17309;BRANCO;55
83;CH;60212;E;;0;;1.72838;1.45567;0.17309;ROSA;56
83;CH;58761;C;;0;;1.82041;2.26986;0.20371;AZUL;69
83;CH;58876;D;;0;;1.67318;3.38972;0.21839;AMARELO;70
83;CH;58875;E;;0;;3.0483;2.15615;0.12306;BRANCO;71
83;CH;58875;E;;0;;3.0483;2.15615;0.12306;ROSA;72
84;CH;58726;C;;0;;2.64231;1.13516;0.19219;AZUL;53
84;CH;58726;C;;0;;2.64231;1.13516;0.19219;AMARELO;54
84;CH;58726;C;;0;;2.64231;1.13516;0.19219;BRANCO;55
84;CH;58726;C;;0;;2.64231;1.13516;0.19219;ROSA;56
84;CH;58876;D;;0;;1.67318;3.38972;0.21839;AZUL;69
84;CH;58761;C;;0;;1.82041;2.26986;0.20371;AMARELO;70
84;CH;58876;D;;0;;1.67318;3.38972;0.21839;BRANCO;71
84;CH;58761;C;;0;;1.82041;2.26986;0.20371;ROSA;72
85;CH;60215;D;;0;;2.07233;1.55811;0.13524;AZUL;53
85;CH;60217;D;;0;;0.78346;0.5514;0.37795;AMARELO;54
85;CH;60215;D;;0;;2.07233;1.55811;0.13524;BRANCO;55
85;CH;60224;E;;0;;1.30667;1.60044;0.162;ROSA;56
85;CH;58875;E;;0;;3.0483;2.15615;0.12306;AZUL;69
85;CH;58875;E;;0;;3.0483;2.15615;0.12306;AMARELO;70
85;CH;58761;C;;0;;1.82041;2.26986;0.20371;BRANCO;71
85;CH;58876;D;;0;;1.67318;3.38972;0.21839;ROSA;72
86;CH;60217;D;;0;;0.78346;0.5514;0.37795;AZUL;53
86;CH;60215;D;;0;;2.07233;1.55811;0.13524;AMARELO;54
86;CH;60217;D;;0;;0.78346;0.5514;0.37795;BRANCO;55
86;CH;60223;E;;0;;2.29329;2.06699;0.17413;ROSA;56
86;CH;58288;D;;0;;1.59729;2.46153;0.19037;AZUL;69
86;CH;58288;D;;0;;1.59729;2.46153;0.19037;AMARELO;70
86;CH;58288;D;;0;;1.59729;2.46153;0.19037;BRANCO;71
86;CH;58288;D;;0;;1.59729;2.46153;0.19037;ROSA;72
87;CH;60219;B;;0;;2.48756;1.71943;0.16899;AZUL;53
87;CH;60219;B;;0;;2.48756;1.71943;0.16899;AMARELO;54
87;CH;60219;B;;0;;2.48756;1.71943;0.16899;BRANCO;55
87;CH;60225;D;;0;;0.78917;1.22871;0.1937;ROSA;56
87;CH;57804;D;;0;;1.21526;1.90971;0.17363;AZUL;69
87;CH;57804;D;;0;;1.21526;1.90971;0.17363;AMARELO;70
